"STATISTIC","Statistic Label","C02172V02618","Type of Vehicle Registration","C01841V02268","Type of Fuel","TLIST(M1)","Month","UNIT","VALUE"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199607","1996M07","Number","13169"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199608","1996M08","Number","8362"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199609","1996M09","Number","6737"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199610","1996M10","Number","6461"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199611","1996M11","Number","5289"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199612","1996M12","Number","2786"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199701","1997M01","Number","17521"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199702","1997M02","Number","15775"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199703","1997M03","Number","15958"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199704","1997M04","Number","16950"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199705","1997M05","Number","17026"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199706","1997M06","Number","12638"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199707","1997M07","Number","14036"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199708","1997M08","Number","9886"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199709","1997M09","Number","8366"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199710","1997M10","Number","8961"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199711","1997M11","Number","8424"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199712","1997M12","Number","7562"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199801","1998M01","Number","20608"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199802","1998M02","Number","18655"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199803","1998M03","Number","17987"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199804","1998M04","Number","20282"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199805","1998M05","Number","19155"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199806","1998M06","Number","16440"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199807","1998M07","Number","16702"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199808","1998M08","Number","11754"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199809","1998M09","Number","9168"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199810","1998M10","Number","8865"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199811","1998M11","Number","7821"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199812","1998M12","Number","5087"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199901","1999M01","Number","16434"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199902","1999M02","Number","23729"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199903","1999M03","Number","27844"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199904","1999M04","Number","22375"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199905","1999M05","Number","22874"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199906","1999M06","Number","21326"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199907","1999M07","Number","20901"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199908","1999M08","Number","16412"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199909","1999M09","Number","13828"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199910","1999M10","Number","11559"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199911","1999M11","Number","10413"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","199912","1999M12","Number","5904"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200001","2000M01","Number","23807"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200002","2000M02","Number","34376"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200003","2000M03","Number","35331"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200004","2000M04","Number","31540"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200005","2000M05","Number","33026"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200006","2000M06","Number","28668"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200007","2000M07","Number","24295"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200008","2000M08","Number","20232"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200009","2000M09","Number","15359"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200010","2000M10","Number","12599"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200011","2000M11","Number","10120"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200012","2000M12","Number","5638"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200101","2001M01","Number","20622"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200102","2001M02","Number","27396"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200103","2001M03","Number","27505"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200104","2001M04","Number","23400"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200105","2001M05","Number","24200"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200106","2001M06","Number","19751"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200107","2001M07","Number","18802"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200108","2001M08","Number","14400"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200109","2001M09","Number","9865"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200110","2001M10","Number","9834"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200111","2001M11","Number","7602"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200112","2001M12","Number","4064"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200201","2002M01","Number","18219"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200202","2002M02","Number","23836"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200203","2002M03","Number","25755"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200204","2002M04","Number","21879"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200205","2002M05","Number","23336"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200206","2002M06","Number","16443"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200207","2002M07","Number","18378"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200208","2002M08","Number","13409"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200209","2002M09","Number","10803"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200210","2002M10","Number","9675"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200211","2002M11","Number","7366"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200212","2002M12","Number","4644"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200301","2003M01","Number","21243"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200302","2003M02","Number","25029"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200303","2003M03","Number","23278"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200304","2003M04","Number","23001"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200305","2003M05","Number","20544"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200306","2003M06","Number","16537"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200307","2003M07","Number","17647"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200308","2003M08","Number","12068"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200309","2003M09","Number","9988"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200310","2003M10","Number","9171"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200311","2003M11","Number","6021"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200312","2003M12","Number","3582"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200401","2004M01","Number","20870"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200402","2004M02","Number","24695"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200403","2004M03","Number","26239"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200404","2004M04","Number","23620"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200405","2004M05","Number","20622"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200406","2004M06","Number","17965"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200407","2004M07","Number","18443"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200408","2004M08","Number","13184"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200409","2004M09","Number","10933"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200410","2004M10","Number","8823"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200411","2004M11","Number","6540"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200412","2004M12","Number","3656"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200501","2005M01","Number","24079"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200502","2005M02","Number","30090"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200503","2005M03","Number","28898"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200504","2005M04","Number","26955"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200505","2005M05","Number","23958"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200506","2005M06","Number","20195"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200507","2005M07","Number","18729"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200508","2005M08","Number","15260"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200509","2005M09","Number","11334"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200510","2005M10","Number","9521"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200511","2005M11","Number","6658"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200512","2005M12","Number","3750"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200601","2006M01","Number","29962"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200602","2006M02","Number","33089"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200603","2006M03","Number","31800"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200604","2006M04","Number","26687"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200605","2006M05","Number","25565"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200606","2006M06","Number","20628"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200607","2006M07","Number","20017"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200608","2006M08","Number","15555"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200609","2006M09","Number","11491"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200610","2006M10","Number","9445"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200611","2006M11","Number","6620"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200612","2006M12","Number","3085"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200701","2007M01","Number","36016"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200702","2007M02","Number","33971"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200703","2007M03","Number","35139"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200704","2007M04","Number","28086"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200705","2007M05","Number","27138"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200706","2007M06","Number","21446"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200707","2007M07","Number","21849"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200708","2007M08","Number","14667"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200709","2007M09","Number","10539"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200710","2007M10","Number","9120"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200711","2007M11","Number","5872"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200712","2007M12","Number","2603"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200801","2008M01","Number","39065"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200802","2008M02","Number","31609"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200803","2008M03","Number","25844"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200804","2008M04","Number","23712"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200805","2008M05","Number","17285"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200806","2008M06","Number","11774"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200807","2008M07","Number","20262"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200808","2008M08","Number","9335"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200809","2008M09","Number","6838"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200810","2008M10","Number","4848"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200811","2008M11","Number","2707"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200812","2008M12","Number","1518"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200901","2009M01","Number","13084"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200902","2009M02","Number","10922"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200903","2009M03","Number","9306"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200904","2009M04","Number","7555"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200905","2009M05","Number","6864"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200906","2009M06","Number","6614"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200907","2009M07","Number","6009"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200908","2009M08","Number","3873"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200909","2009M09","Number","3563"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200910","2009M10","Number","2790"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200911","2009M11","Number","1674"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","200912","2009M12","Number","871"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201001","2010M01","Number","12062"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201002","2010M02","Number","14061"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201003","2010M03","Number","14665"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201004","2010M04","Number","11556"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201005","2010M05","Number","10614"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201006","2010M06","Number","10007"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201007","2010M07","Number","8648"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201008","2010M08","Number","6927"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201009","2010M09","Number","5802"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201010","2010M10","Number","4838"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201011","2010M11","Number","2888"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201012","2010M12","Number","1008"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201101","2011M01","Number","15176"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201102","2011M02","Number","15696"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201103","2011M03","Number","14483"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201104","2011M04","Number","13246"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201105","2011M05","Number","11418"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201106","2011M06","Number","10981"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201107","2011M07","Number","8600"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201108","2011M08","Number","5275"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201109","2011M09","Number","4272"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201110","2011M10","Number","3236"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201111","2011M11","Number","2311"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201112","2011M12","Number","1067"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201201","2012M01","Number","16392"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201202","2012M02","Number","13397"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201203","2012M03","Number","12568"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201204","2012M04","Number","11263"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201205","2012M05","Number","9895"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201206","2012M06","Number","7320"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201207","2012M07","Number","7944"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201208","2012M08","Number","5341"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201209","2012M09","Number","3999"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201210","2012M10","Number","3563"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201211","2012M11","Number","2237"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201212","2012M12","Number","1174"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201301","2013M01","Number","12316"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201302","2013M02","Number","11518"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201303","2013M03","Number","12452"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201304","2013M04","Number","10057"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201305","2013M05","Number","9070"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201306","2013M06","Number","4609"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201307","2013M07","Number","11228"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201308","2013M08","Number","6416"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201309","2013M09","Number","6636"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201310","2013M10","Number","4974"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201311","2013M11","Number","2499"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201312","2013M12","Number","1112"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201401","2014M01","Number","18328"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201402","2014M02","Number","14547"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201403","2014M03","Number","13998"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201404","2014M04","Number","14178"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201405","2014M05","Number","10250"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201406","2014M06","Number","5123"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201407","2014M07","Number","16736"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201408","2014M08","Number","8487"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201409","2014M09","Number","6562"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201410","2014M10","Number","5062"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201411","2014M11","Number","2879"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201412","2014M12","Number","1502"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201501","2015M01","Number","23152"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201502","2015M02","Number","19134"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201503","2015M03","Number","20659"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201504","2015M04","Number","16465"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201505","2015M05","Number","12079"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201506","2015M06","Number","6380"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201507","2015M07","Number","24894"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201508","2015M08","Number","11311"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201509","2015M09","Number","8323"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201510","2015M10","Number","6160"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201511","2015M11","Number","3642"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","-","All fuel types","201512","2015M12","Number","1651"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","1","Petrol","199607","1996M07","Number","9995"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","1","Petrol","199608","1996M08","Number","6075"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","1","Petrol","199609","1996M09","Number","4732"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","1","Petrol","199610","1996M10","Number","4476"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","1","Petrol","199611","1996M11","Number","3563"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","1","Petrol","199612","1996M12","Number","1902"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","1","Petrol","199701","1997M01","Number","13038"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","1","Petrol","199702","1997M02","Number","11664"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","1","Petrol","199703","1997M03","Number","12395"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","1","Petrol","199704","1997M04","Number","12813"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","1","Petrol","199705","1997M05","Number","13089"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","1","Petrol","199706","1997M06","Number","9555"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","1","Petrol","199707","1997M07","Number","10664"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","1","Petrol","199708","1997M08","Number","7258"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","1","Petrol","199709","1997M09","Number","5925"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","1","Petrol","199710","1997M10","Number","6611"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","1","Petrol","199711","1997M11","Number","6502"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","1","Petrol","199712","1997M12","Number","6429"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","1","Petrol","199801","1998M01","Number","15494"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","1","Petrol","199802","1998M02","Number","13953"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","1","Petrol","199803","1998M03","Number","13247"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","1","Petrol","199804","1998M04","Number","15509"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","1","Petrol","199805","1998M05","Number","14614"
"TEM03","New Vehicles Licensed for the First Time","-","All Vehicles","1","Petrol","199806","1998M06","Number","12272"
